externalId,moldExternalId,plasticExternalId,displayName,speed,glide,turn,fade,stability,weightMin,weightMax,link,imageUrl,notes,slug
innova-sidewinder-gstar,innova-sidewinder,innova-gstar,GStar Sidewinder,,,,,,,,,,,sidewinder-gstar
innova-sidewinder-halo-star,innova-sidewinder,innova-halo-star,Halo Star Sidewinder,,,,,,,,,,,sidewinder-halo-star
innova-sidewinder-star,innova-sidewinder,innova-star,Star Sidewinder,,,,,,,,,,,sidewinder-star
innova-teebird-champion,innova-teebird,innova-champion,Champion TeeBird,,,,,,,,,,,teebird-champion
innova-teebird-dx,innova-teebird,innova-dx,DX TeeBird,,,,,,,,,,,teebird-dx
innova-teebird-echo-star,innova-teebird,innova-echo-star,Echo Star TeeBird,,,,,,,,,,,teebird-echo-star
innova-teebird-gstar,innova-teebird,innova-gstar,GStar TeeBird,,,,,,,,,,,teebird-gstar
innova-teebird-pro,innova-teebird,innova-pro,Pro TeeBird,,,,,,,,,,,teebird-pro
innova-teebird-star,innova-teebird,innova-star,Star TeeBird,,,,,,,,,,,teebird-star
innova-teebird3-champion,innova-teebird3,innova-champion,Champion TeeBird3,,,,,,,,,,,teebird3-champion
innova-teebird3-dx,innova-teebird3,innova-dx,DX TeeBird3,,,,,,,,,,,teebird3-dx
innova-teebird3-gstar,innova-teebird3,innova-gstar,GStar TeeBird3,,,,,,,,,,,teebird3-gstar
innova-teebird3-star,innova-teebird3,innova-star,Star TeeBird3,,,,,,,,,,,teebird3-star
innova-tern-champion,innova-tern,innova-champion,Champion Tern,,,,,,,,,,,tern-champion
innova-tern-echo-star,innova-tern,innova-echo-star,Echo Star Tern,,,,,,,,,,,tern-echo-star
innova-tern-gstar,innova-tern,innova-gstar,GStar Tern,,,,,,,,,,,tern-gstar
innova-tern-halo-star,innova-tern,innova-halo-star,Halo Star Tern,,,,,,,,,,,tern-halo-star
innova-tern-pro,innova-tern,innova-pro,Pro Tern,,,,,,,,,,,tern-pro
innova-tern-star,innova-tern,innova-star,Star Tern,,,,,,,,,,,tern-star
innova-thunderbird-champion,innova-thunderbird,innova-champion,Champion Thunderbird,,,,,,,,,,,thunderbird-champion
innova-thunderbird-dx,innova-thunderbird,innova-dx,DX Thunderbird,,,,,,,,,,,thunderbird-dx
innova-thunderbird-gstar,innova-thunderbird,innova-gstar,GStar Thunderbird,,,,,,,,,,,thunderbird-gstar
innova-thunderbird-halo-star,innova-thunderbird,innova-halo-star,Halo Star Thunderbird,,,,,,,,,,,thunderbird-halo-star
innova-thunderbird-star,innova-thunderbird,innova-star,Star Thunderbird,,,,,,,,,,,thunderbird-star
innova-valkyrie-champion,innova-valkyrie,innova-champion,Champion Valkyrie,,,,,,,,,,,valkyrie-champion
innova-valkyrie-dx,innova-valkyrie,innova-dx,DX Valkyrie,,,,,,,,,,,valkyrie-dx
innova-valkyrie-gstar,innova-valkyrie,innova-gstar,GStar Valkyrie,,,,,,,,,,,valkyrie-gstar
innova-valkyrie-pro,innova-valkyrie,innova-pro,Pro Valkyrie,,,,,,,,,,,valkyrie-pro
innova-valkyrie-star,innova-valkyrie,innova-star,Star Valkyrie,,,,,,,,,,,valkyrie-star
innova-whale-champion,innova-whale,innova-champion,Champion Whale,,,,,,,,,,,whale-champion
innova-whale-dx,innova-whale,innova-dx,DX Whale,,,,,,,,,,,whale-dx
innova-whale-gstar,innova-whale,innova-gstar,GStar Whale,,,,,,,,,,,whale-gstar
innova-whale-xt,innova-whale,innova-xt,XT Whale,,,,,,,,,,,whale-xt
innova-wraith-champion,innova-wraith,innova-champion,Champion Wraith,,,,,,,,,,,wraith-champion
innova-wraith-dx,innova-wraith,innova-dx,DX Wraith,,,,,,,,,,,wraith-dx
innova-wraith-echo-star,innova-wraith,innova-echo-star,Echo Star Wraith,,,,,,,,,,,wraith-echo-star
innova-wraith-gstar,innova-wraith,innova-gstar,GStar Wraith,,,,,,,,,,,wraith-gstar
innova-wraith-halo-star,innova-wraith,innova-halo-star,Halo Star Wraith,,,,,,,,,,,wraith-halo-star
innova-wraith-pro,innova-wraith,innova-pro,Pro Wraith,,,,,,,,,,,wraith-pro
innova-wraith-star,innova-wraith,innova-star,Star Wraith,,,,,,,,,,,wraith-star
innova-xcaliber-champion,innova-xcaliber,innova-champion,Champion XCaliber,,,,,,,,,,,xcaliber-champion
innova-xcaliber-echo-star,innova-xcaliber,innova-echo-star,Echo Star XCaliber,,,,,,,,,,,xcaliber-echo-star
innova-xcaliber-halo-star,innova-xcaliber,innova-halo-star,Halo Star XCaliber,,,,,,,,,,,xcaliber-halo-star
innova-xcaliber-star,innova-xcaliber,innova-star,Star XCaliber,,,,,,,,,,,xcaliber-star
latitude-64-ballista-pro-gold,latitude-64-ballista-pro,latitude-64-gold,Gold Ballista Pro,,,,,,,,,,,ballista-pro-gold
latitude-64-ballista-pro-gold-x,latitude-64-ballista-pro,latitude-64-gold-x,Gold-X Ballista Pro,,,,,,,,,,,ballista-pro-gold-x
latitude-64-ballista-pro-opto,latitude-64-ballista-pro,latitude-64-opto,Opto Ballista Pro,,,,,,,,,,,ballista-pro-opto
latitude-64-ballista-pro-opto-air,latitude-64-ballista-pro,latitude-64-opto-air,Opto Air Ballista Pro,,,,,,,,,,,ballista-pro-opto-air
latitude-64-ballista-pro-opto-x,latitude-64-ballista-pro,latitude-64-opto-x,Opto-X Ballista Pro,,,,,,,,,,,ballista-pro-opto-x
latitude-64-explorer-gold,latitude-64-explorer,latitude-64-gold,Gold Explorer,,,,,,,,,,,explorer-gold
latitude-64-explorer-gold-x,latitude-64-explorer,latitude-64-gold-x,Gold-X Explorer,,,,,,,,,,,explorer-gold-x
latitude-64-explorer-opto,latitude-64-explorer,latitude-64-opto,Opto Explorer,,,,,,,,,,,explorer-opto
latitude-64-explorer-opto-x,latitude-64-explorer,latitude-64-opto-x,Opto-X Explorer,,,,,,,,,,,explorer-opto-x
latitude-64-explorer-retro,latitude-64-explorer,latitude-64-retro,Retro Explorer,,,,,,,,,,,explorer-retro
latitude-64-fuse-gold,latitude-64-fuse,latitude-64-gold,Gold Fuse,,,,,,,,,,,fuse-gold
latitude-64-fuse-opto,latitude-64-fuse,latitude-64-opto,Opto Fuse,,,,,,,,,,,fuse-opto
latitude-64-fuse-retro,latitude-64-fuse,latitude-64-retro,Retro Fuse,,,,,,,,,,,fuse-retro
latitude-64-grace-grand,latitude-64-grace,latitude-64-grand,Grand Grace,,,,,,,,,,,grace-grand
latitude-64-pure-gold,latitude-64-pure,latitude-64-gold,Gold Pure,,,,,,,,,,,pure-gold
latitude-64-pure-opto,latitude-64-pure,latitude-64-opto,Opto Pure,,,,,,,,,,,pure-opto
latitude-64-pure-retro,latitude-64-pure,latitude-64-retro,Retro Pure,,,,,,,,,,,pure-retro
latitude-64-pure-zero-hard,latitude-64-pure,latitude-64-zero-hard,Zero Hard Pure,,,,,,,,,,,pure-zero-hard
latitude-64-pure-zero-medium,latitude-64-pure,latitude-64-zero-medium,Zero Medium Pure,,,,,,,,,,,pure-zero-medium
latitude-64-pure-zero-soft,latitude-64-pure,latitude-64-zero-soft,Zero Soft Pure,,,,,,,,,,,pure-zero-soft
latitude-64-rive-grand,latitude-64-rive,latitude-64-grand,Grand Rive,,,,,,,,,,,rive-grand
latitude-64-river-frost,latitude-64-river,latitude-64-frost,Frost River,,,,,,,,,,,river-frost
latitude-64-river-gold,latitude-64-river,latitude-64-gold,Gold River,,,,,,,,,,,river-gold
latitude-64-river-opto,latitude-64-river,latitude-64-opto,Opto River,,,,,,,,,,,river-opto
latitude-64-river-opto-air,latitude-64-river,latitude-64-opto-air,Opto Air River,,,,,,,,,,,river-opto-air
latitude-64-river-retro,latitude-64-river,latitude-64-retro,Retro River,,,,,,,,,,,river-retro
latitude-64-saint-frost,latitude-64-saint,latitude-64-frost,Frost Saint,,,,,,,,,,,saint-frost
latitude-64-saint-gold,latitude-64-saint,latitude-64-gold,Gold Saint,,,,,,,,,,,saint-gold
latitude-64-saint-opto,latitude-64-saint,latitude-64-opto,Opto Saint,,,,,,,,,,,saint-opto
latitude-64-saint-opto-air,latitude-64-saint,latitude-64-opto-air,Opto Air Saint,,,,,,,,,,,saint-opto-air
latitude-64-trust-grand,latitude-64-trust,latitude-64-grand,Grand Trust,,,,,,,,,,,trust-grand
mvp-disc-sports-anode-electron-medium,mvp-disc-sports-anode,mvp-electron-medium,Electron Medium Anode,,,,,,,,,,,anode-electron-medium
mvp-disc-sports-anode-neutron,mvp-disc-sports-anode,mvp-neutron,Neutron Anode,,,,,,,,,,,anode-neutron
mvp-disc-sports-anode-plasma,mvp-disc-sports-anode,mvp-plasma,Plasma Anode,,,,,,,,,,,anode-plasma
mvp-disc-sports-anode-proton,mvp-disc-sports-anode,mvp-proton,Proton Anode,,,,,,,,,,,anode-proton
mvp-disc-sports-atom-cosmic-electron,mvp-disc-sports-atom,mvp-cosmic-electron,Cosmic Electron Atom,,,,,,,,,,,atom-cosmic-electron
mvp-disc-sports-atom-electron-firm,mvp-disc-sports-atom,mvp-electron-firm,Electron Firm Atom,,,,,,,,,,,atom-electron-firm
mvp-disc-sports-atom-electron-medium,mvp-disc-sports-atom,mvp-electron-medium,Electron Medium Atom,,,,,,,,,,,atom-electron-medium
mvp-disc-sports-atom-electron-soft,mvp-disc-sports-atom,mvp-electron-soft,Electron Soft Atom,,,,,,,,,,,atom-electron-soft
mvp-disc-sports-entropy-cosmic-neutron,mvp-disc-sports-entropy,mvp-cosmic-neutron,Cosmic Neutron Entropy,,,,,,,,,,,entropy-cosmic-neutron
mvp-disc-sports-entropy-neutron,mvp-disc-sports-entropy,mvp-neutron,Neutron Entropy,,,,,,,,,,,entropy-neutron
mvp-disc-sports-entropy-plasma,mvp-disc-sports-entropy,mvp-plasma,Plasma Entropy,,,,,,,,,,,entropy-plasma
mvp-disc-sports-hex-cosmic-neutron,mvp-disc-sports-hex,mvp-cosmic-neutron,Cosmic Neutron Hex,,,,,,,,,,,hex-cosmic-neutron
mvp-disc-sports-hex-eclipse-2.0,mvp-disc-sports-hex,mvp-eclipse-2-0,Eclipse 2.0 Hex,,,,,,,,,,,hex-eclipse-2-0
mvp-disc-sports-hex-fission,mvp-disc-sports-hex,mvp-fission,Fission Hex,,,,,,,,,,,hex-fission
mvp-disc-sports-hex-neutron,mvp-disc-sports-hex,mvp-neutron,Neutron Hex,,,,,,,,,,,hex-neutron
mvp-disc-sports-ion-electron-firm,mvp-disc-sports-ion,mvp-electron-firm,Electron Firm Ion,,,,,,,,,,,ion-electron-firm
mvp-disc-sports-ion-electron-medium,mvp-disc-sports-ion,mvp-electron-medium,Electron Medium Ion,,,,,,,,,,,ion-electron-medium
mvp-disc-sports-ion-electron-soft,mvp-disc-sports-ion,mvp-electron-soft,Electron Soft Ion,,,,,,,,,,,ion-electron-soft
mvp-disc-sports-ion-neutron,mvp-disc-sports-ion,mvp-neutron,Neutron Ion,,,,,,,,,,,ion-neutron
mvp-disc-sports-ion-plasma,mvp-disc-sports-ion,mvp-plasma,Plasma Ion,,,,,,,,,,,ion-plasma
mvp-disc-sports-ion-proton,mvp-disc-sports-ion,mvp-proton,Proton Ion,,,,,,,,,,,ion-proton
mvp-disc-sports-photon-cosmic-neutron,mvp-disc-sports-photon,mvp-cosmic-neutron,Cosmic Neutron Photon,,,,,,,,,,,photon-cosmic-neutron
mvp-disc-sports-photon-fission,mvp-disc-sports-photon,mvp-fission,Fission Photon,,,,,,,,,,,photon-fission
mvp-disc-sports-photon-neutron,mvp-disc-sports-photon,mvp-neutron,Neutron Photon,,,,,,,,,,,photon-neutron
mvp-disc-sports-photon-proton,mvp-disc-sports-photon,mvp-proton,Proton Photon,,,,,,,,,,,photon-proton
mvp-disc-sports-reactor-cosmic-neutron,mvp-disc-sports-reactor,mvp-cosmic-neutron,Cosmic Neutron Reactor,,,,,,,,,,,reactor-cosmic-neutron
mvp-disc-sports-reactor-eclipse-2.0,mvp-disc-sports-reactor,mvp-eclipse-2-0,Eclipse 2.0 Reactor,,,,,,,,,,,reactor-eclipse-2-0
mvp-disc-sports-reactor-fission,mvp-disc-sports-reactor,mvp-fission,Fission Reactor,,,,,,,,,,,reactor-fission
mvp-disc-sports-reactor-neutron,mvp-disc-sports-reactor,mvp-neutron,Neutron Reactor,,,,,,,,,,,reactor-neutron
mvp-disc-sports-tesla-fission,mvp-disc-sports-tesla,mvp-fission,Fission Tesla,,,,,,,,,,,tesla-fission
mvp-disc-sports-tesla-neutron,mvp-disc-sports-tesla,mvp-neutron,Neutron Tesla,,,,,,,,,,,tesla-neutron
mvp-disc-sports-tesla-proton,mvp-disc-sports-tesla,mvp-proton,Proton Tesla,,,,,,,,,,,tesla-proton
mvp-disc-sports-volt-cosmic-neutron,mvp-disc-sports-volt,mvp-cosmic-neutron,Cosmic Neutron Volt,,,,,,,,,,,volt-cosmic-neutron
mvp-disc-sports-volt-fission,mvp-disc-sports-volt,mvp-fission,Fission Volt,,,,,,,,,,,volt-fission
mvp-disc-sports-volt-neutron,mvp-disc-sports-volt,mvp-neutron,Neutron Volt,,,,,,,,,,,volt-neutron
mvp-disc-sports-volt-plasma,mvp-disc-sports-volt,mvp-plasma,Plasma Volt,,,,,,,,,,,volt-plasma
mvp-disc-sports-volt-proton,mvp-disc-sports-volt,mvp-proton,Proton Volt,,,,,,,,,,,volt-proton
mvp-disc-sports-wave-cosmic-neutron,mvp-disc-sports-wave,mvp-cosmic-neutron,Cosmic Neutron Wave,,,,,,,,,,,wave-cosmic-neutron
mvp-disc-sports-wave-fission,mvp-disc-sports-wave,mvp-fission,Fission Wave,,,,,,,,,,,wave-fission
mvp-disc-sports-wave-neutron,mvp-disc-sports-wave,mvp-neutron,Neutron Wave,,,,,,,,,,,wave-neutron
mvp-disc-sports-wave-plasma,mvp-disc-sports-wave,mvp-plasma,Plasma Wave,,,,,,,,,,,wave-plasma
mvp-disc-sports-wave-proton,mvp-disc-sports-wave,mvp-proton,Proton Wave,,,,,,,,,,,wave-proton
prodigy-disc-d2-400,prodigy-disc-d2,prodigy-400,400 D2,,,,,,,,,,,d2-400
prodigy-disc-d2-400g,prodigy-disc-d2,prodigy-400g,400G D2,,,,,,,,,,,d2-400g
prodigy-disc-d2-500,prodigy-disc-d2,prodigy-500,500 D2,,,,,,,,,,,d2-500
prodigy-disc-d2-750,prodigy-disc-d2,prodigy-750,750 D2,,,,,,,,,,,d2-750
prodigy-disc-d2-air,prodigy-disc-d2,prodigy-air,Air D2,,,,,,,,,,,d2-air
prodigy-disc-d3-400,prodigy-disc-d3,prodigy-400,400 D3,,,,,,,,,,,d3-400
prodigy-disc-d3-400g,prodigy-disc-d3,prodigy-400g,400G D3,,,,,,,,,,,d3-400g
prodigy-disc-d3-500,prodigy-disc-d3,prodigy-500,500 D3,,,,,,,,,,,d3-500
prodigy-disc-d3-750,prodigy-disc-d3,prodigy-750,750 D3,,,,,,,,,,,d3-750
prodigy-disc-d3-air,prodigy-disc-d3,prodigy-air,Air D3,,,,,,,,,,,d3-air
prodigy-disc-f2-400,prodigy-disc-f2,prodigy-400,400 F2,,,,,,,,,,,f2-400
prodigy-disc-f2-400g,prodigy-disc-f2,prodigy-400g,400G F2,,,,,,,,,,,f2-400g
prodigy-disc-f2-500,prodigy-disc-f2,prodigy-500,500 F2,,,,,,,,,,,f2-500
prodigy-disc-f2-750,prodigy-disc-f2,prodigy-750,750 F2,,,,,,,,,,,f2-750
prodigy-disc-m4-300,prodigy-disc-m4,prodigy-300,300 M4,,,,,,,,,,,m4-300
prodigy-disc-m4-400,prodigy-disc-m4,prodigy-400,400 M4,,,,,,,,,,,m4-400
prodigy-disc-m4-400g,prodigy-disc-m4,prodigy-400g,400G M4,,,,,,,,,,,m4-400g
prodigy-disc-m4-500,prodigy-disc-m4,prodigy-500,500 M4,,,,,,,,,,,m4-500
prodigy-disc-m4-750,prodigy-disc-m4,prodigy-750,750 M4,,,,,,,,,,,m4-750
prodigy-disc-pa-3-200,prodigy-disc-pa-3,prodigy-200,200 PA-3,,,,,,,,,,,pa-3-200
prodigy-disc-pa-3-300,prodigy-disc-pa-3,prodigy-300,300 PA-3,,,,,,,,,,,pa-3-300
prodigy-disc-pa-3-300-soft,prodigy-disc-pa-3,prodigy-300-soft,300 Soft PA-3,,,,,,,,,,,pa-3-300-soft
prodigy-disc-pa-3-350g,prodigy-disc-pa-3,prodigy-350g,350G PA-3,,,,,,,,,,,pa-3-350g
prodigy-disc-pa-3-400,prodigy-disc-pa-3,prodigy-400,400 PA-3,,,,,,,,,,,pa-3-400
prodigy-disc-pa-3-400g,prodigy-disc-pa-3,prodigy-400g,400G PA-3,,,,,,,,,,,pa-3-400g
prodigy-disc-pa-3-500,prodigy-disc-pa-3,prodigy-500,500 PA-3,,,,,,,,,,,pa-3-500
prodigy-disc-pa-3-750,prodigy-disc-pa-3,prodigy-750,750 PA-3,,,,,,,,,,,pa-3-750
