externalId,brand,mold,category,name,plasticFamily,stiffness,grip,durability,slug
discmania-fd-c-line,Discmania,FD,Fairway Driver,C-Line,premium,high,medium,very-high,c-line
discmania-pd-c-line,Discmania,PD,Fairway Driver,C-Line,premium,high,medium,very-high,c-line
discmania-dd3-c-line,Discmania,DD3,Distance Driver,C-Line,premium,high,medium,very-high,c-line
discmania-method-neo,Discmania,Method,Midrange,Neo,premium,medium,high,high,neo
discmania-method-exo-hard,Discmania,Method,Midrange,Exo Hard,base,high,very-high,low,exo-hard
discmania-method-exo-soft,Discmania,Method,Midrange,Exo Soft,base,low,very-high,low,exo-soft
discmania-method-forge,Discmania,Method,Midrange,Forge,premium,high,high,very-high,forge
discmania-fd-s-line,Discmania,FD,Fairway Driver,S-Line,premium,medium,high,high,s-line
discmania-pd-s-line,Discmania,PD,Fairway Driver,S-Line,premium,medium,high,high,s-line
discmania-dd3-s-line,Discmania,DD3,Distance Driver,S-Line,premium,medium,high,high,s-line
discmania-fd-horizon,Discmania,FD,Fairway Driver,Horizon,premium,medium,high,high,horizon
discmania-pd-horizon,Discmania,PD,Fairway Driver,Horizon,premium,medium,high,high,horizon
discmania-dd3-horizon,Discmania,DD3,Distance Driver,Horizon,premium,medium,high,high,horizon
discmania-cloud-breaker-horizon,Discmania,Cloud Breaker,Distance Driver,Horizon,premium,medium,high,high,horizon
dynamic-discs-judge-classic,Dynamic Discs,Judge,Putt & Approach,Classic,base,high,high,low,classic
dynamic-discs-warden-classic,Dynamic Discs,Warden,Putt & Approach,Classic,base,high,high,low,classic
dynamic-discs-judge-classic-blend,Dynamic Discs,Judge,Putt & Approach,Classic Blend,base,medium,high,low,classic-blend
dynamic-discs-warden-classic-blend,Dynamic Discs,Warden,Putt & Approach,Classic Blend,base,medium,high,low,classic-blend
dynamic-discs-judge-classic-soft,Dynamic Discs,Judge,Putt & Approach,Classic Soft,base,low,high,low,classic-soft
dynamic-discs-warden-classic-soft,Dynamic Discs,Warden,Putt & Approach,Classic Soft,base,low,high,low,classic-soft
dynamic-discs-judge-prime,Dynamic Discs,Judge,Putt & Approach,Prime,base,medium,high,low,prime
dynamic-discs-warden-prime,Dynamic Discs,Warden,Putt & Approach,Prime,base,medium,high,low,prime
dynamic-discs-judge-lucid,Dynamic Discs,Judge,Putt & Approach,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-warden-lucid,Dynamic Discs,Warden,Putt & Approach,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-justice-lucid,Dynamic Discs,Justice,Midrange,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-emac-truth-lucid,Dynamic Discs,EMac Truth,Midrange,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-felon-lucid,Dynamic Discs,Felon,Fairway Driver,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-escape-lucid,Dynamic Discs,Escape,Fairway Driver,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-trespass-lucid,Dynamic Discs,Trespass,Distance Driver,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-sheriff-lucid,Dynamic Discs,Sheriff,Distance Driver,Lucid,premium,high,medium,very-high,lucid
dynamic-discs-judge-fuzion,Dynamic Discs,Judge,Putt & Approach,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-warden-fuzion,Dynamic Discs,Warden,Putt & Approach,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-justice-fuzion,Dynamic Discs,Justice,Midrange,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-emac-truth-fuzion,Dynamic Discs,EMac Truth,Midrange,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-felon-fuzion,Dynamic Discs,Felon,Fairway Driver,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-escape-fuzion,Dynamic Discs,Escape,Fairway Driver,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-trespass-fuzion,Dynamic Discs,Trespass,Distance Driver,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-sheriff-fuzion,Dynamic Discs,Sheriff,Distance Driver,Fuzion,premium,medium,high,high,fuzion
dynamic-discs-judge-supreme,Dynamic Discs,Judge,Putt & Approach,Supreme,premium,medium,high,very-high,supreme
dynamic-discs-justice-lucid-x,Dynamic Discs,Justice,Midrange,Lucid-X,premium,very-high,medium,very-high,lucid-x
dynamic-discs-felon-lucid-x,Dynamic Discs,Felon,Fairway Driver,Lucid-X,premium,very-high,medium,very-high,lucid-x
dynamic-discs-trespass-lucid-x,Dynamic Discs,Trespass,Distance Driver,Lucid-X,premium,very-high,medium,very-high,lucid-x
dynamic-discs-justice-moonshine,Dynamic Discs,Justice,Midrange,Moonshine,premium,high,medium,very-high,moonshine
dynamic-discs-emac-truth-moonshine,Dynamic Discs,EMac Truth,Midrange,Moonshine,premium,high,medium,very-high,moonshine
dynamic-discs-felon-moonshine,Dynamic Discs,Felon,Fairway Driver,Moonshine,premium,high,medium,very-high,moonshine
dynamic-discs-escape-moonshine,Dynamic Discs,Escape,Fairway Driver,Moonshine,premium,high,medium,very-high,moonshine
dynamic-discs-trespass-moonshine,Dynamic Discs,Trespass,Distance Driver,Moonshine,premium,high,medium,very-high,moonshine
dynamic-discs-emac-truth-biofuzion,Dynamic Discs,EMac Truth,Midrange,BioFuzion,premium,medium,high,high,biofuzion
dynamic-discs-felon-biofuzion,Dynamic Discs,Felon,Fairway Driver,BioFuzion,premium,medium,high,high,biofuzion
dynamic-discs-escape-biofuzion,Dynamic Discs,Escape,Fairway Driver,BioFuzion,premium,medium,high,high,biofuzion
dynamic-discs-trespass-biofuzion,Dynamic Discs,Trespass,Distance Driver,BioFuzion,premium,medium,high,high,biofuzion
dynamic-discs-sheriff-biofuzion,Dynamic Discs,Sheriff,Distance Driver,BioFuzion,premium,medium,high,high,biofuzion
dynamic-discs-emac-truth-fluid,Dynamic Discs,EMac Truth,Midrange,Fluid,premium,low,very-high,high,fluid
dynamic-discs-escape-fluid,Dynamic Discs,Escape,Fairway Driver,Fluid,premium,low,very-high,high,fluid
dynamic-discs-felon-fuzion-x,Dynamic Discs,Felon,Fairway Driver,Fuzion-X,premium,very-high,high,high,fuzion-x
latitude-64-pure-zero-soft,Latitude 64,Pure,Putt & Approach,Zero Soft,base,low,very-high,low,zero-soft
latitude-64-pure-zero-medium,Latitude 64,Pure,Putt & Approach,Zero Medium,base,medium,very-high,low,zero-medium
latitude-64-pure-zero-hard,Latitude 64,Pure,Putt & Approach,Zero Hard,base,high,very-high,low,zero-hard
latitude-64-pure-opto,Latitude 64,Pure,Putt & Approach,Opto,premium,high,medium,very-high,opto
latitude-64-fuse-opto,Latitude 64,Fuse,Midrange,Opto,premium,high,medium,very-high,opto
latitude-64-river-opto,Latitude 64,River,Fairway Driver,Opto,premium,high,medium,very-high,opto
latitude-64-explorer-opto,Latitude 64,Explorer,Fairway Driver,Opto,premium,high,medium,very-high,opto
latitude-64-saint-opto,Latitude 64,Saint,Fairway Driver,Opto,premium,high,medium,very-high,opto
latitude-64-ballista-pro-opto,Latitude 64,Ballista Pro,Distance Driver,Opto,premium,high,medium,very-high,opto
latitude-64-pure-gold,Latitude 64,Pure,Putt & Approach,Gold,premium,medium,high,high,gold
latitude-64-fuse-gold,Latitude 64,Fuse,Midrange,Gold,premium,medium,high,high,gold
latitude-64-river-gold,Latitude 64,River,Fairway Driver,Gold,premium,medium,high,high,gold
latitude-64-explorer-gold,Latitude 64,Explorer,Fairway Driver,Gold,premium,medium,high,high,gold
latitude-64-saint-gold,Latitude 64,Saint,Fairway Driver,Gold,premium,medium,high,high,gold
latitude-64-ballista-pro-gold,Latitude 64,Ballista Pro,Distance Driver,Gold,premium,medium,high,high,gold
latitude-64-pure-retro,Latitude 64,Pure,Putt & Approach,Retro,base,medium,high,low,retro
latitude-64-fuse-retro,Latitude 64,Fuse,Midrange,Retro,base,medium,high,low,retro
latitude-64-river-retro,Latitude 64,River,Fairway Driver,Retro,base,medium,high,low,retro
latitude-64-explorer-retro,Latitude 64,Explorer,Fairway Driver,Retro,base,medium,high,low,retro
latitude-64-trust-grand,Latitude 64,Trust,Midrange,Grand,premium,medium,high,very-high,grand
latitude-64-grace-grand,Latitude 64,Grace,Distance Driver,Grand,premium,medium,high,very-high,grand
latitude-64-rive-grand,Latitude 64,Rive,Distance Driver,Grand,premium,medium,high,very-high,grand
latitude-64-river-opto-air,Latitude 64,River,Fairway Driver,Opto Air,premium,medium,medium,high,opto-air
latitude-64-saint-opto-air,Latitude 64,Saint,Fairway Driver,Opto Air,premium,medium,medium,high,opto-air
latitude-64-ballista-pro-opto-air,Latitude 64,Ballista Pro,Distance Driver,Opto Air,premium,medium,medium,high,opto-air
latitude-64-river-frost,Latitude 64,River,Fairway Driver,Frost,premium,low,very-high,high,frost
latitude-64-saint-frost,Latitude 64,Saint,Fairway Driver,Frost,premium,low,very-high,high,frost
latitude-64-explorer-opto-x,Latitude 64,Explorer,Fairway Driver,Opto-X,premium,very-high,medium,very-high,opto-x
latitude-64-ballista-pro-opto-x,Latitude 64,Ballista Pro,Distance Driver,Opto-X,premium,very-high,medium,very-high,opto-x
latitude-64-explorer-gold-x,Latitude 64,Explorer,Fairway Driver,Gold-X,premium,very-high,high,high,gold-x
latitude-64-ballista-pro-gold-x,Latitude 64,Ballista Pro,Distance Driver,Gold-X,premium,very-high,high,high,gold-x
prodigy-disc-pa-3-200,Prodigy Disc,PA-3,Putt & Approach,200,base,medium,high,low,200
prodigy-disc-pa-3-300,Prodigy Disc,PA-3,Putt & Approach,300,base,medium,very-high,low,300
prodigy-disc-m4-300,Prodigy Disc,M4,Midrange,300,base,medium,very-high,low,300
prodigy-disc-pa-3-300-soft,Prodigy Disc,PA-3,Putt & Approach,300 Soft,base,low,very-high,low,300-soft
prodigy-disc-pa-3-350g,Prodigy Disc,PA-3,Putt & Approach,350G,base,high,high,medium,350g
prodigy-disc-pa-3-400,Prodigy Disc,PA-3,Putt & Approach,400,premium,medium,high,high,400
prodigy-disc-m4-400,Prodigy Disc,M4,Midrange,400,premium,medium,high,high,400
prodigy-disc-f2-400,Prodigy Disc,F2,Fairway Driver,400,premium,medium,high,high,400
prodigy-disc-d2-400,Prodigy Disc,D2,Distance Driver,400,premium,medium,high,high,400
prodigy-disc-d3-400,Prodigy Disc,D3,Distance Driver,400,premium,medium,high,high,400
prodigy-disc-pa-3-400g,Prodigy Disc,PA-3,Putt & Approach,400G,premium,medium,high,high,400g
prodigy-disc-m4-400g,Prodigy Disc,M4,Midrange,400G,premium,medium,high,high,400g
prodigy-disc-f2-400g,Prodigy Disc,F2,Fairway Driver,400G,premium,medium,high,high,400g
prodigy-disc-d2-400g,Prodigy Disc,D2,Distance Driver,400G,premium,medium,high,high,400g
prodigy-disc-d3-400g,Prodigy Disc,D3,Distance Driver,400G,premium,medium,high,high,400g
prodigy-disc-pa-3-500,Prodigy Disc,PA-3,Putt & Approach,500,premium,high,high,very-high,500
prodigy-disc-m4-500,Prodigy Disc,M4,Midrange,500,premium,high,high,very-high,500
prodigy-disc-f2-500,Prodigy Disc,F2,Fairway Driver,500,premium,high,high,very-high,500
prodigy-disc-d2-500,Prodigy Disc,D2,Distance Driver,500,premium,high,high,very-high,500
prodigy-disc-d3-500,Prodigy Disc,D3,Distance Driver,500,premium,high,high,very-high,500
prodigy-disc-pa-3-750,Prodigy Disc,PA-3,Putt & Approach,750,premium,very-high,medium,very-high,750
prodigy-disc-m4-750,Prodigy Disc,M4,Midrange,750,premium,very-high,medium,very-high,750
prodigy-disc-f2-750,Prodigy Disc,F2,Fairway Driver,750,premium,very-high,medium,very-high,750
prodigy-disc-d2-750,Prodigy Disc,D2,Distance Driver,750,premium,very-high,medium,very-high,750
prodigy-disc-d3-750,Prodigy Disc,D3,Distance Driver,750,premium,very-high,medium,very-high,750
prodigy-disc-d2-air,Prodigy Disc,D2,Distance Driver,Air,premium,medium,medium,high,air
prodigy-disc-d3-air,Prodigy Disc,D3,Distance Driver,Air,premium,medium,medium,high,air
